what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1341853709886
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1341853709886
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1341853709886
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1341853709887
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1341853709888
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1341853709888
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1341853709889
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1341853709889
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1341853709890
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1341853709890
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1341853709891
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1341853709891
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1341853709892
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341853709892
os,sysinfo,,,"win32",1341853709895
arch,sysinfo,,,"x86",1341853709895
ws,sysinfo,,,"win32",1341853709895
locale,sysinfo,,,"en_US",1341853709895
processors,sysinfo,,,"4",1341853709895
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341853709895
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1341853709895
java.specification.name,sysinfo,,,"Java Platform API Specification",1341853709895
java.specification.vendor,sysinfo,,,"Oracle Corporation",1341853709895
java.specification.version,sysinfo,,,"1.7",1341853709895
java.vendor,sysinfo,,,"Oracle Corporation",1341853709895
java.version,sysinfo,,,"1.7.0_02",1341853709895
java.vm.info,sysinfo,,,"mixed mode, sharing",1341853709895
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1341853709895
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341853709895
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1341853709895
java.vm.specification.version,sysinfo,,,"1.7",1341853709895
java.vm.vendor,sysinfo,,,"Oracle Corporation",1341853709895
java.vm.version,sysinfo,,,"22.0-b10",1341853709895
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341853730830
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341853750320
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341853750389
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1341853750444
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341853751909
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1341853751937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341853766591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341853768531
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1341853770219
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1341853770385
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1341853770393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341853770413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341853770558
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1341853770618
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1341853770645
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1341853770677
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1341853771630
